order_item_id,order_id,product_id,quantity,unit_price,line_total
1,1,147,3,50.11,150.33
2,1,86,1,431.1,431.1
3,2,201,4,496.81,1987.24
4,2,194,3,521.07,1563.21
5,3,244,2,423.65,847.3
6,3,7,4,53.23,212.92
7,3,73,4,200.84,803.36
8,3,162,3,386.04,1158.12
9,3,115,3,235.12,705.36
10,4,98,1,209.33,209.33
11,4,71,1,594.55,594.55
12,4,18,3,55.2,165.6
13,4,130,3,60.89,182.67
14,4,155,3,219.1,657.3
15,5,9,3,553.14,1659.42
16,6,145,1,362.85,362.85
17,6,240,2,253.55,507.1
18,6,152,1,580.76,580.76
19,6,39,2,116.92,233.84
20,6,132,1,330.55,330.55
21,7,27,4,238.78,955.12
22,7,160,3,275.73,827.19
23,8,75,1,256.79,256.79
24,8,179,2,200.78,401.56
25,9,81,3,51.32,153.96
26,10,162,4,386.04,1544.16
27,10,73,2,200.84,401.68
28,10,238,1,262.67,262.67
29,10,45,2,118.21,236.42
30,10,13,4,249.16,996.64
31,11,152,4,580.76,2323.04
32,11,171,4,242.88,971.52
33,12,60,3,556.59,1669.77
34,12,246,3,307.14,921.42
35,12,218,4,126.69,506.76
36,12,90,4,138.74,554.96
37,12,209,1,101.66,101.66
38,12,61,2,374.3,748.6
39,13,233,2,275.42,550.84
40,13,88,1,347.53,347.53
41,13,127,2,240.8,481.6
42,13,170,1,287.23,287.23
43,13,47,1,595.74,595.74
44,13,172,2,244.65,489.3
45,14,175,2,93.86,187.72
46,14,210,1,141.37,141.37
47,14,7,4,53.23,212.92
48,15,69,4,297.02,1188.08
49,15,241,4,205.2,820.8
50,15,221,3,627.82,1883.46
51,15,154,1,342.09,342.09
52,16,177,2,245.43,490.86
53,16,9,1,553.14,553.14
54,16,198,3,351.95,1055.85
55,16,225,4,242.67,970.68
56,17,119,4,142.86,571.44
57,17,85,4,164.19,656.76
58,17,69,1,297.02,297.02
59,18,25,3,277.57,832.71
60,18,104,1,287.63,287.63
61,18,157,4,28.92,115.68
62,18,145,1,362.85,362.85
63,19,23,3,276.19,828.57
64,19,139,1,250.55,250.55
65,19,227,2,454.43,908.86
66,20,68,3,188.28,564.84
67,20,229,3,165.02,495.06
68,20,139,2,250.55,501.1
69,20,115,1,235.12,235.12
70,20,44,1,19.48,19.48
71,21,83,1,550.53,550.53
72,21,30,4,247.82,991.28
73,21,209,4,101.66,406.64
74,21,18,2,55.2,110.4
75,21,173,4,303.56,1214.24
76,21,148,4,497.64,1990.56
77,22,52,1,135.78,135.78
78,22,42,3,132.01,396.03
79,23,150,4,377.06,1508.24
80,23,128,2,197.5,395.0
81,23,136,2,299.97,599.94
82,23,235,2,172.77,345.54
83,23,49,3,529.8,1589.4
84,24,225,4,242.67,970.68
85,24,234,3,244.66,733.98
86,25,67,1,136.1,136.1
87,25,43,1,349.47,349.47
88,25,13,1,249.16,249.16
89,25,182,1,214.08,214.08
90,25,66,3,87.24,261.72
91,25,90,4,138.74,554.96
92,26,117,3,300.72,902.16
93,27,122,1,313.49,313.49
94,27,52,4,135.78,543.12
95,28,22,4,125.76,503.04
96,28,197,2,297.44,594.88
97,28,79,4,440.1,1760.4
98,28,183,3,147.46,442.38
99,28,85,2,164.19,328.38
100,29,235,2,172.77,345.54
101,29,38,3,511.93,1535.79
102,29,178,4,505.3,2021.2
103,29,245,1,170.03,170.03
104,30,206,3,225.13,675.39
105,30,58,2,307.4,614.8
106,31,153,1,415.24,415.24
107,31,217,2,369.23,738.46
108,31,16,3,70.43,211.29
109,31,5,3,148.93,446.79
110,32,201,4,496.81,1987.24
111,32,107,4,233.92,935.68
112,32,6,1,478.9,478.9
113,33,227,1,454.43,454.43
114,33,139,4,250.55,1002.2
115,33,245,4,170.03,680.12
116,33,240,4,253.55,1014.2
117,33,146,4,118.88,475.52
118,34,112,1,186.06,186.06
119,34,237,4,52.77,211.08
120,34,21,2,574.25,1148.5
121,35,155,2,219.1,438.2
122,35,186,4,232.01,928.04
123,35,107,4,233.92,935.68
124,35,61,1,374.3,374.3
125,35,150,3,377.06,1131.18
126,35,34,3,43.41,130.23
127,36,139,4,250.55,1002.2
128,36,229,3,165.02,495.06
129,36,123,3,235.89,707.67
130,37,228,3,380.46,1141.38
131,37,227,2,454.43,908.86
132,37,204,2,207.96,415.92
133,37,16,1,70.43,70.43
134,37,178,4,505.3,2021.2
135,38,74,2,355.67,711.34
136,38,181,2,314.93,629.86
137,38,201,1,496.81,496.81
138,38,135,2,298.38,596.76
139,38,147,3,50.11,150.33
140,39,6,4,478.9,1915.6
141,40,107,3,233.92,701.76
142,40,26,4,478.23,1912.92
143,40,216,4,101.25,405.0
144,40,208,4,350.34,1401.36
145,40,89,1,152.92,152.92
146,41,170,3,287.23,861.69
147,41,24,3,28.9,86.7
148,41,152,4,580.76,2323.04
149,41,49,2,529.8,1059.6
150,42,168,2,316.03,632.06
151,43,96,2,541.36,1082.72
152,43,52,2,135.78,271.56
153,43,44,2,19.48,38.96
154,43,54,4,60.89,243.56
155,43,31,4,499.38,1997.52
156,43,160,4,275.73,1102.92
157,44,64,1,110.72,110.72
158,44,15,3,578.04,1734.12
159,44,123,4,235.89,943.56
160,44,130,3,60.89,182.67
161,44,158,3,479.14,1437.42
162,44,222,4,81.41,325.64
163,45,192,4,183.66,734.64
164,46,214,3,288.6,865.8
165,46,70,4,473.53,1894.12
166,47,27,4,238.78,955.12
167,47,108,3,378.79,1136.37
168,47,154,4,342.09,1368.36
169,47,29,1,218.87,218.87
170,47,208,1,350.34,350.34
171,47,116,3,108.97,326.91
172,48,66,2,87.24,174.48
173,49,204,4,207.96,831.84
174,49,179,3,200.78,602.34
175,49,54,3,60.89,182.67
176,50,52,4,135.78,543.12
177,50,212,3,454.26,1362.78
178,51,155,1,219.1,219.1
