store_id,store_name,city_id,store_area_sqft,opened_date,is_active
1,Mumbai Dark Store 1,1,1500,2025-10-25,False
2,Mumbai Dark Store 2,1,2500,2024-08-20,True
3,Mumbai Dark Store 3,1,2000,2025-02-11,True
4,Mumbai Dark Store 4,1,3500,2025-01-06,True
5,Delhi Dark Store 1,2,1500,2026-01-01,False
6,Delhi Dark Store 2,2,2000,2025-11-20,True
7,Delhi Dark Store 3,2,3500,2026-04-20,False
8,Bengaluru Dark Store 1,3,3500,2024-10-02,True
9,Bengaluru Dark Store 2,3,3000,2025-05-25,True
10,Hyderabad Dark Store 1,4,2000,2024-08-23,True
11,Hyderabad Dark Store 2,4,2500,2025-01-03,True
12,Pune Dark Store 1,5,2500,2025-07-23,True
13,Pune Dark Store 2,5,3000,2024-08-21,True
14,Chennai Dark Store 1,6,3500,2024-12-20,True
15,Chennai Dark Store 2,6,1500,2025-11-01,True
16,Chennai Dark Store 3,6,3500,2025-08-20,True
17,Ahmedabad Dark Store 1,7,1500,2025-01-04,True
18,Ahmedabad Dark Store 2,7,3500,2025-09-20,True
19,Ahmedabad Dark Store 3,7,2500,2026-02-21,True
20,Jaipur Dark Store 1,8,1500,2024-08-07,False
21,Jaipur Dark Store 2,8,2000,2026-02-18,True
22,Jaipur Dark Store 3,8,1500,2025-12-05,True
23,Jaipur Dark Store 4,8,1500,2025-03-29,True
24,Lucknow Dark Store 1,9,2500,2024-11-19,True
25,Lucknow Dark Store 2,9,2500,2026-06-05,True
26,Lucknow Dark Store 3,9,2500,2025-03-26,True
27,Indore Dark Store 1,10,1500,2024-10-07,True
28,Indore Dark Store 2,10,2000,2024-10-09,True
29,Indore Dark Store 3,10,2000,2026-03-20,True
30,Indore Dark Store 4,10,3000,2025-09-30,True

