return_id,order_item_id,return_reason,return_date,refund_amount
1,5,Changed mind,2026-04-28,847.3
2,7,Wrong item delivered,2026-05-01,803.36
3,6,Changed mind,2026-04-29,212.92
4,8,Changed mind,2026-05-02,1158.12
5,22,Changed mind,2026-03-04,827.19
6,32,Item expired,2026-04-18,971.52
7,36,Damaged product,2026-07-04,554.96
8,37,Item expired,2026-07-05,101.66
9,35,Changed mind,2026-07-03,506.76
10,33,Wrong item delivered,2026-07-02,1669.77
11,105,Item expired,2026-05-18,614.8
12,104,Item expired,2026-05-19,675.39
13,141,Item expired,2026-07-12,701.76
14,145,Wrong item delivered,2026-07-13,152.92
15,191,Damaged product,2026-03-06,595.72
16,209,Item expired,2026-07-17,200.44
17,265,Wrong item delivered,2026-04-14,487.8
18,263,Wrong item delivered,2026-04-16,318.48
19,264,Quality issue,2026-04-16,301.65
20,266,Quality issue,2026-04-15,991.28
21,287,Changed mind,2026-04-25,141.37
22,397,Damaged product,2026-05-06,995.28
23,396,Wrong item delivered,2026-05-05,960.12
24,421,Item expired,2026-07-07,410.58
25,419,Item expired,2026-07-10,159.69
26,416,Quality issue,2026-07-07,263.78
27,470,Item expired,2026-05-04,1647.08
28,468,Item expired,2026-05-07,935.68
29,465,Damaged product,2026-05-05,38.96
30,466,Wrong item delivered,2026-05-04,1368.36
31,467,Damaged product,2026-05-05,550.84
32,510,Changed mind,2026-02-10,330.8
33,576,Item expired,2026-06-08,159.24
34,575,Damaged product,2026-06-10,1038.0
35,577,Item expired,2026-06-09,943.56
36,615,Item expired,2026-03-10,556.48
37,643,Damaged product,2026-06-28,669.99
38,664,Changed mind,2026-07-05,28.9
39,696,Item expired,2026-07-07,656.76
40,697,Damaged product,2026-07-07,657.68
41,706,Damaged product,2026-05-16,1264.12
42,705,Wrong item delivered,2026-05-16,64.96
43,891,Changed mind,2026-03-20,996.64
44,995,Changed mind,2026-05-17,400.74
45,1055,Changed mind,2026-05-03,1212.66
46,1139,Damaged product,2026-02-27,661.1
47,1138,Changed mind,2026-02-26,493.26
48,1184,Item expired,2026-02-21,1228.56
49,1185,Changed mind,2026-02-18,268.64
50,1182,Item expired,2026-02-19,1125.96
51,1183,Wrong item delivered,2026-02-18,680.3
52,1199,Changed mind,2026-02-28,437.74
53,1251,Changed mind,2026-03-10,221.44
54,1334,Wrong item delivered,2026-05-13,669.99
55,1451,Wrong item delivered,2026-03-21,1023.86
56,1495,Item expired,2026-02-28,410.4
57,1493,Changed mind,2026-02-28,144.42
58,1494,Wrong item delivered,2026-03-03,349.47
59,1496,Item expired,2026-03-01,900.52
60,1491,Changed mind,2026-03-01,786.24
61,1823,Wrong item delivered,2026-05-16,277.48
62,1822,Damaged product,2026-05-16,935.68
